title,desc,date,datetime,link,img,media,site
國台辦聲援柯文哲！范世平嗆「藍白紅大集合」：國民黨才用司法政治鬥爭,民眾黨主席柯文哲因涉京華城案被羈押禁見，國台辦發言人陳斌華今（11日）在例行記者會中表示，總統賴清德自上台以來，一再操作司法行政手段，公器私用，製造綠色恐怖，...,6 分鐘前,nan,https://www.setn.com/m/news.aspx%3Fnewsid%3D1530069&ved=2ahUKEwjMmJD68MGIAxUef_UHHQugC_gQxfQBegQIAhAC&usg=AOvVaw3xetYVFmUvGY4-mr_jPZAk,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",三立新聞網SETN.com,
幕後／柯文哲涉弊「小草四散」 「第三勢力困局」藍綠夾殺後有追兵,民眾黨主席柯文哲近日深陷京華城涉弊風暴，從假帳案、政治獻金申報開始的一連串爭議及後續仍未上檯面的餘下「四大案」，不只公開透明招牌搖搖欲墜，更引爆民眾黨政治危機...,2 分鐘前,nan,https://www.ettoday.net/news/20240914/2816898.htm&ved=2ahUKEwjMmJD68MGIAxUef_UHHQugC_gQxfQBegQICRAC&usg=AOvVaw0l2YvQM_VtRApsXwqIedJE,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",ETtoday新聞雲,
柯文哲案牽動國際關係？ 蕭旭岑：AIT說要干預一定是真的| 國際,民眾黨主席柯文哲「京華城案」目前裁定羈押，震驚社會，驚傳美國在台協會（AIT）放話要賴清德處理，否則將介入。對此，雖然行政院表示並未聽說相關消息，但馬英九基金會執行長...,3 分鐘前,nan,https://newtalk.tw/news/view/2024-09-14/936393&ved=2ahUKEwjMmJD68MGIAxUef_UHHQugC_gQxfQBegQIBhAC&usg=AOvVaw1tizW0i-bRmXszpt1jFUTA,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Newtalk新聞,
爬梳柯文哲京華城案時序！吳靜怡：神秘便當會只剩黃珊珊沒事,記者高逸帆／台北報導民眾黨主席柯文哲涉入京華城弊案，遭到收押禁見，中秋節也得在看守所度過。對此，政治評論員吳靜怡今（14）日從2020年關鍵的一場便當會議開始爬梳案.,7 分鐘前,nan,https://tw.news.yahoo.com/%25E7%2588%25AC%25E6%25A2%25B3%25E6%259F%25AF%25E6%2596%2587%25E5%2593%25B2%25E4%25BA%25AC%25E8%258F%25AF%25E5%259F%258E%25E6%25A1%2588%25E6%2599%2582%25E5%25BA%258F-%25E5%2590%25B3%25E9%259D%259C%25E6%2580%25A1-%25E7%25A5%259E%25E7%25A7%2598%25E4%25BE%25BF%25E7%2595%25B6%25E6%259C%2583%25E5%258F%25AA%25E5%2589%25A9%25E9%25BB%2583%25E7%258F%258A%25E7%258F%258A%25E6%25B2%2592%25E4%25BA%258B-014006681.html&ved=2ahUKEwjMmJD68MGIAxUef_UHHQugC_gQxfQBegQIARAC&usg=AOvVaw2rAtwzMMAyPEttjjgJVzIS,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Yahoo新聞,
謝國樑急了？為反罷免拉攏「小草」 挨酸：國民黨打柯文哲更大力,即時中心／高睿鴻報導日前，基隆市長謝國樑的罷免投票案正式成立，並將於10月13日舉辦。對此，謝國樑似乎有些著急，據傳他不斷動用行政資源、動員里長及基層組織，...,8 分鐘前,nan,https://tw.news.yahoo.com/%25E8%25AC%259D%25E5%259C%258B%25E6%25A8%2591%25E6%2580%25A5%25E4%25BA%2586-%25E7%2582%25BA%25E5%258F%258D%25E7%25BD%25B7%25E5%2585%258D%25E6%258B%2589%25E6%2594%258F-%25E5%25B0%258F%25E8%258D%2589-%25E6%258C%25A8%25E9%2585%25B8-%25E5%259C%258B%25E6%25B0%2591%25E9%25BB%25A8%25E6%2589%2593%25E6%259F%25AF%25E6%2596%2587%25E5%2593%25B2%25E6%259B%25B4%25E5%25A4%25A7%25E5%258A%259B-063438056.html&ved=2ahUKEwjMmJD68MGIAxUef_UHHQugC_gQxfQBegQIBRAC&usg=AOvVaw1NVQchSaUWRV0dvRk_HWnX,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Yahoo新聞,
保管箱有100萬！但柯文哲、陳佩琪現金申報多年「空白」,民眾黨主席柯文哲夫人陳佩琪自報檢調搜索她的銀行保管箱，裡面存有金飾、玉器、還有1百萬元現金，只是，根據柯文哲夫妻的財產申報資料，多年的現金申報都是「空白」。48 分鐘前,8 分鐘前,nan,https://tw.news.yahoo.com/%25E4%25BF%259D%25E7%25AE%25A1%25E7%25AE%25B1%25E6%259C%2589100%25E8%2590%25AC-%25E4%25BD%2586%25E6%259F%25AF%25E6%2596%2587%25E5%2593%25B2-%25E9%2599%25B3%25E4%25BD%25A9%25E7%2590%25AA%25E7%258F%25BE%25E9%2587%2591%25E7%2594%25B3%25E5%25A0%25B1%25E5%25A4%259A%25E5%25B9%25B4-%25E7%25A9%25BA%25E7%2599%25BD-062400818.html&ved=2ahUKEwjMmJD68MGIAxUef_UHHQugC_gQxfQBegQIABAC&usg=AOvVaw205mH5cChUxA2ZFI-NBcNc,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Yahoo新聞,
京華城案「關鍵公文」曝 柯文哲、彭振聲、黃景茂疑這時點大開綠燈,京華城弊案今（14）日最新進展，台北市前都發局長黃景茂列圖利罪被告、500萬元交保。台北市議員林亮君質疑說，黃景茂被列為被告的關鍵，應與2020年9月21日的一份公文有關。51 分鐘前,1 分鐘前,nan,https://tw.news.yahoo.com/%25E4%25BA%25AC%25E8%258F%25AF%25E5%259F%258E%25E6%25A1%2588-%25E9%2597%259C%25E9%258D%25B5%25E5%2585%25AC%25E6%2596%2587-%25E6%259B%259D-%25E6%259F%25AF%25E6%2596%2587%25E5%2593%25B2-%25E5%25BD%25AD%25E6%258C%25AF%25E8%2581%25B2-062115533.html&ved=2ahUKEwjMmJD68MGIAxUef_UHHQugC_gQxfQBegQIBxAC&usg=AOvVaw2ZJqIa54TFx1EZB576ifuc,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Yahoo新聞,
介文汲、蕭旭岑控「AIT關切柯文哲案」 AIT打臉：不介入台灣司法,民眾黨主席柯文哲因涉犯貪瀆等罪，遭台北地方法院裁定羈押禁見。國民黨籍前外交官介文汲稱美國在台協會（AIT）將出手干預、關切；而馬英九基金會執行長蕭旭岑也加碼指控...,4 分鐘前,nan,https://www.ettoday.net/news/20240914/2817012.htm&ved=2ahUKEwjMmJD68MGIAxUef_UHHQugC_gQxfQBegQIBBAC&usg=AOvVaw0C5QiYqi6N0rKZsqJrLLpR,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",ETtoday新聞雲,
黃景茂證人轉被告！林亮君曝「關鍵公文」：柯文哲任期尾聲大開綠燈,記者高逸帆／台北報導民眾黨主席柯文哲涉入京華城弊案，遭到收押禁見，而台北市前都發局長黃景茂則從證人轉列為被告，並以500萬元交保。對此，民進黨台北市議員林亮君昨（13）...,1 小時前,nan,https://tw.news.yahoo.com/%25E9%25BB%2583%25E6%2599%25AF%25E8%258C%2582%25E8%25AD%2589%25E4%25BA%25BA%25E8%25BD%2589%25E8%25A2%25AB%25E5%2591%258A-%25E6%259E%2597%25E4%25BA%25AE%25E5%2590%259B%25E6%259B%259D-%25E9%2597%259C%25E9%258D%25B5%25E5%2585%25AC%25E6%2596%2587-%25E6%259F%25AF%25E6%2596%2587%25E5%2593%25B2%25E4%25BB%25BB%25E6%259C%259F%25E5%25B0%25BE%25E8%2581%25B2%25E5%25A4%25A7%25E9%2596%258B%25E7%25B6%25A0%25E7%2587%2588-035008103.html&ved=2ahUKEwjMmJD68MGIAxUef_UHHQugC_gQxfQBegQIAxAC&usg=AOvVaw2A5HOP_X9GS8nNlBPf6tZE,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Yahoo新聞,
柯文哲被收押 朱立倫：堅持程序正義、司法公平,民眾黨主席柯文哲涉案被收押，國民黨主席朱立倫14日到桃園，他受訪表示，要還給司法公平正義的空間，勿枉勿縱絕對不是口號。他說，國民黨立場很清楚，一定堅持程序正義、司法...,1 小時前,nan,https://www.chinatimes.com/realtimenews/20240914001772-260407&ved=2ahUKEwjMmJD68MGIAxUef_UHHQugC_gQxfQBegQICBAC&usg=AOvVaw3KUuaUpwbZxmWWBNZqEzuQ,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",中時新聞網,
